,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
13,37.6884,30.0164,39.261,32.6199,3.0703,32.2748,34.4236,22.8308,0.1051,3.0697,3.0714,10.2678,6.4773,0.0,31.2283,0.0099,0.0347,0.0398,50.209,2.0329,2.2528,5.8896,5.8105,6.1427,7.9001,43.8617,35.6723,39.3429,7.0374,19.493,2.1,3.0261,4.6237,54.5687,46.8169,2.342
14,35.9481,22.3065,22.3215,24.7664,1.0045,22.6281,25.9646,18.0764,5.839,1.0289,1.0131,1.0,1.0,23.2398,0.0,41.3695,40.9561,38.7737,48.7631,26.5819,29.6605,35.9327,34.7967,35.1455,2.8494,31.2998,20.757,30.9706,6.6987,1.0278,1.0187,1.5541,1.2932,4.1594,4.2289,1.0123
15,53.465,28.5087,54.9439,41.8752,41.7244,33.6956,54.9012,53.65,4.0456,45.874,44.002,27.9657,27.22,54.99,13.555,0.0,2.7272,2.7647,6.406,2.3378,2.3497,2.3511,2.4079,2.4819,4.9344,4.144,18.06,55.0,28.0295,17.2429,12.5631,53.6347,54.3812,55.0,55.0,44.2308
16,53.55,28.6839,54.8368,45.8584,46.4044,39.0568,54.9272,53.575,4.1071,49.5088,48.0372,33.2393,33.2824,54.9649,13.95,2.9312,0.0,2.8718,8.6316,2.4547,2.4396,2.3713,2.5288,2.5912,6.5152,4.7264,18.23,55.0,28.1242,21.7516,12.8234,53.4128,54.6984,55.0,55.0,47.5694
17,54.09,32.1187,54.7501,46.0144,46.2172,39.0256,54.9636,54.08,3.9929,49.5712,48.1204,33.1325,33.0502,54.9597,16.125,2.9059,2.748,0.0,8.824,2.4892,2.4531,2.4418,2.5819,2.6963,6.484,4.9136,21.59,55.0,31.5382,22.2713,15.1082,52.6073,54.7036,55.0,55.0,48.0789
18,34.0436,38.3461,25.7986,29.2537,46.5285,19.8253,29.6989,3.0694,46.9239,46.9568,46.6713,41.3724,41.5477,4.4407,5.3148,44.0954,42.0719,41.8381,0.0,24.4478,22.134,9.7612,14.1332,16.7578,16.2886,6.1739,7.9914,9.6645,3.2542,33.6286,43.9411,41.4078,24.6792,24.8823,24.84,17.4097
19,54.7416,43.915,43.5862,54.038,53.986,52.4728,55.0,54.7524,3.2246,54.5528,54.2876,39.0072,33.7155,52.9396,28.33,3.54,3.384,3.348,27.7936,0.0,2.7107,2.5062,3.4014,3.9952,21.9904,16.832,34.6915,55.0,38.0172,40.5754,12.781,27.9036,55.0,55.0,55.0,52.8757
20,54.5861,41.77,43.8361,54.3188,54.3552,53.1956,55.0,54.6326,3.231,54.6516,54.6256,40.0705,34.1173,52.7154,25.245,3.5338,3.4158,3.3901,30.3364,2.9166,0.0,2.5783,3.4622,4.3807,24.476,19.38,30.9274,55.0,35.7768,42.7613,10.7749,27.6384,54.9948,55.0,55.0,53.1723
21,53.6876,35.245,34.6816,54.9116,54.922,54.714,55.0,53.8025,3.0952,54.9792,54.9116,34.2935,26.8809,49.0382,18.985,3.5732,3.5281,3.4652,43.9916,3.1977,3.1063,0.0,3.8351,4.4769,39.192,33.4876,24.4331,55.0,25.1034,44.4586,5.9509,18.4636,55.0,55.0,55.0,50.8682
22,53.8809,48.515,35.8255,54.7015,54.653,54.0648,55.0,53.8439,27.2961,54.847,54.8118,35.7866,30.3833,49.1,19.6604,27.2225,27.0804,26.853,39.0817,24.964,24.3997,22.408,0.0,12.4086,30.4814,24.2359,24.7745,55.0,25.2937,42.0797,12.7443,20.9926,55.0,55.0,55.0,50.8204
23,53.9857,48.2408,37.8441,54.6257,54.5565,53.811,55.0,53.87,32.3702,54.8336,54.7719,40.7732,36.3026,48.765,19.2528,32.3651,32.0666,31.9383,36.1649,29.7151,29.1999,27.2433,15.6891,0.0,27.5875,22.2425,24.6568,55.0,24.7626,40.6787,23.586,24.2167,55.0,55.0,55.0,51.0887
24,41.4668,37.7414,38.5378,51.6208,26.737,50.8516,52.0,50.8915,51.754,26.4839,26.6347,33.1981,33.1056,46.9217,50.0427,49.9302,48.2543,48.3381,36.9239,32.399,29.9396,15.3071,23.6966,26.5604,0.0,23.4184,51.5112,51.8877,47.0257,28.3083,39.5411,30.4603,17.0676,10.3637,7.646,27.6193
25,42.798,45.2859,25.6772,49.9031,48.2795,44.276,50.3462,4.5899,51.8505,48.4522,48.4343,47.6583,47.5267,9.2668,21.7998,50.7719,50.1814,49.9834,47.3287,37.9748,35.4257,21.3149,30.284,32.2354,29.9195,0.0,17.8223,13.813,10.646,39.6885,47.8921,43.5084,24.3969,25.2322,24.722,39.3243
26,38.6718,31.3199,26.3165,21.0882,3.008,29.6592,22.3381,21.2531,3.3908,3.0,3.0,2.1344,1.5072,17.7244,33.0571,36.6961,36.5409,33.1843,45.842,20.1261,23.866,30.3106,29.7003,29.8236,3.4568,34.5617,0.0,52.0202,8.2965,4.3411,0.6681,1.2435,3.1646,55.0,54.5947,1.3228
27,2.5131,34.2644,32.5248,35.7921,1.7338,24.1278,30.174,2.0011,0.0,1.7366,1.7316,0.0047,0.0,14.5853,22.4552,0.0,0.0,0.0,44.4122,0.0,0.0,0.0,0.0,0.0,1.8393,39.5336,2.7797,0.0,0.0866,0.0187,0.0,0.004,1.7399,4.9813,4.8135,0.0045
28,53.1125,28.6496,36.3536,19.0473,3.0717,18.5571,24.7561,49.4373,1.6187,3.1556,3.1044,19.2979,13.4944,47.3823,45.9308,26.8959,26.8014,23.3911,51.7136,16.8673,19.1016,29.7249,29.4867,30.0005,7.4771,43.0332,45.7641,54.9079,0.0,30.2254,9.0168,5.083,7.0405,55.0,54.99,14.8688
29,49.6026,53.991,42.1874,49.7821,35.7579,46.9957,53.9964,48.1887,48.0635,36.9206,36.3838,34.423,33.1598,34.4693,53.9706,36.8377,32.2837,31.7488,18.1712,13.3171,11.2104,9.0752,11.7653,12.9798,21.985,12.8414,50.425,53.9809,23.8919,0.0,44.1823,37.0309,23.4687,21.5767,51.0465,9.398
30,54.7131,44.2083,44.3715,9.2464,6.1356,7.936,42.0736,54.7268,1.8203,7.9648,6.9544,2.8072,2.5228,52.8668,53.9078,4.2245,4.2014,3.9703,7.0096,4.7227,4.9586,5.816,5.8073,5.7874,5.64,7.0,54.2583,55.0,45.7869,5.3339,0.0,13.3538,28.0164,55.0,55.0,6.3676
31,53.7431,44.3091,43.6406,13.279,3.1496,11.8299,42.0847,53.6649,5.0104,3.0458,3.095,5.8406,5.1694,51.8787,53.4281,0.6798,0.51,0.6618,11.0,5.7095,5.7826,7.7724,7.8144,7.8326,7.9153,11.0,53.7419,53.9956,49.7073,9.23,14.3913,0.0,15.0061,29.4664,52.4797,7.226
32,43.1574,42.5803,43.6542,26.1387,3.1798,11.2035,45.9547,51.6619,4.3298,2.9687,2.9205,0.6207,1.2623,50.3156,51.3854,0.6089,0.2971,0.2913,29.2291,0.0,0.0049,0.0,0.0,0.0,25.1313,29.498,51.8294,51.9844,47.6864,30.213,15.2117,15.4031,0.0,16.4343,10.2111,1.6129
33,0.0,41.656,40.7397,24.9021,7.4004,10.6606,23.6518,0.0,0.0,5.0313,6.3951,0.7014,1.3691,0.4118,48.5326,0.0,0.0,0.0,29.0227,0.0,0.0,0.0,0.0,0.0,36.3155,28.696,0.0,48.6836,0.0,32.1753,0.0,15.0087,16.4933,0.0,11.3308,0.5044
34,0.4009,48.6565,47.6078,29.1997,28.5761,12.5049,29.0681,0.411,0.0,23.1911,26.1484,0.0049,0.0045,7.8707,48.4761,0.0,0.0,0.0,29.0762,0.0,0.0,0.0,0.0,0.0,44.0866,29.1545,0.3854,48.4819,0.0094,2.8788,0.0,1.4367,39.596,20.4358,0.0,0.0094
35,46.0437,53.4659,52.5488,29.4028,26.7377,21.8061,53.6277,51.7919,27.6069,31.8464,29.5047,12.7252,15.9876,52.3925,53.9871,10.4227,7.1201,6.747,36.1038,1.9003,1.613,3.6478,2.7447,2.7197,11.739,14.8208,53.553,54.8623,39.619,44.2408,45.1549,13.5817,49.9476,54.3224,54.8609,0.0
